model_name,model_family,modality,body_region,patient_population,age_groups,clinical_problem,task,model_description,release_status,release_evidence,code_url,journal,year,citations,citations_per_year,rcr,fwci,nih_percentile,doi,url,title,first_author,study_design,dataset_size,data_source,validation,headline_result,pmid,record_id,source,is_preprint,confidence,overridden_fields,extractor_model,prompt_version,extracted_on
,,MRI,fetal lung,33 control fetuses and 12 fetuses with congenital diaphragmatic hernia,fetal,Assessing fetal lung volumes and function (via T2* relaxometry) in congenital diaphragmatic hernia to help predict prognosis (survival),segmentation; outcome prediction,"A pre-trained 3D deep-learning pipeline segments fetal lungs on motion-corrected MRI to quantify lung volume and T2* relaxometry values, assessed as potential prognostic biomarkers for survival in congenital diaphragmatic hernia.",unclear,,,Pediatric research,2026,1,1.0,,,,10.1038/s41390-025-04091-0,https://doi.org/10.1038/s41390-025-04091-0,"Pulmonary T2* quantification of fetuses with congenital diaphragmatic hernia: a retrospective, case-controlled, MRI pilot study.",Avena-Zampieri CL,retrospective case-control pilot study,"45 fetuses (33 controls, 12 CDH)",not stated,internal only,CDH lung volumes and T2* significantly lower in non-survivors vs controls (p<0.05 to p<0.001),40890480,40890480,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
CINeMA (Conditional Implicit Neural Multi-Modal Atlas),implicit neural representation,MRI,fetal and neonatal brain,"fetal and neonatal brains, including cases with pathologies such as agenesis of the corpus callosum and ventriculomegaly",fetal; neonate,Build a spatio-temporal brain atlas to characterize normal and pathological fetal/neonatal brain development for tissue segmentation and age prediction,segmentation; measurement / quantification; reconstruction / imputation,"Takes multi-modal fetal/neonatal MRI and builds a latent implicit-neural representation conditioned on gestational/birth age and pathology, producing high-resolution spatio-temporal brain atlases that support tissue segmentation, age prediction, and synthetic image generation.",open-source,We release the code and atlases at https://github.com/m-dannecker/CINeMA.,https://github.com/m-dannecker/CINeMA,IEEE transactions on medical imaging,2026,2,2.0,,,,10.1109/TMI.2025.3605194,https://doi.org/10.1109/TMI.2025.3605194,CINeMA: Conditional Implicit Neural Multi-Modal Atlas for a Spatio-Temporal Representation of the Perinatal Brain.,Dannecker M,retrospective atlas construction and evaluation with ablation studies,,not stated,internal only,,40902057,40902057,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
FetalMLOps,,ultrasound,fetal (standard plane classification),,fetal,Classifying standard fetal ultrasound planes to support prenatal anomaly screening,detection / diagnosis,"FetalMLOps, a ten-step MLOps framework, operationalizes machine learning models for standard fetal ultrasound plane classification, covering data curation, model development, deployment via a RESTful API, explainability, and monitoring for clinical integration.",unclear,,,Medical & biological engineering & computing,2026,1,1.0,,,,10.1007/s11517-025-03436-5,https://doi.org/10.1007/s11517-025-03436-5,FetalMLOps: operationalizing machine learning models for standard fetal ultrasound plane classification.,Testi M,methodology / framework paper,,not stated,none / not stated,,40920305,40920305,pubmed,False,low,,claude-code sonnet (worklist),1,2026-09-10
,"ResNet-18/34/50 and EfficientNet-B0/B7 (CNN, via FastAI)",ultrasound,fetal liver,"1,733 fetal liver ultrasound images (after quality exclusion from 2,339), pregnancies 37-42 weeks, with and without gestational diabetes",fetal,"Predicting elevated neonatal insulin (C-peptide) levels, a marker of neonatal insulin imbalance related to gestational diabetes, from fetal liver ultrasound echotexture.",outcome prediction,"CNN classification models (ResNet-18/34/50, EfficientNet-B0/B7) take fetal liver ultrasound images as input and predict whether the neonate will have elevated umbilical cord C-peptide (>75th percentile) at birth, as a non-invasive marker of neonatal insulin imbalance.",unclear,,,Journal of ultrasound in medicine : official journal of the American Institute of Ultrasound in Medicine,2026,0,0.0,,,,10.1002/jum.70053,https://doi.org/10.1002/jum.70053,AI-Driven Fetal Liver Echotexture Analysis: A New Frontier in Predicting Neonatal Insulin Imbalance.,Da Correggio KS,retrospective diagnostic accuracy study,"1,733 fetal liver ultrasound images (606 excluded from 2,339 for quality)",not stated,internal only,"EfficientNet-B0 best performer: sensitivity 86.5%, specificity 82.1%, PPV 83.0%, NPV 85.7%, accuracy 84.3%, AUC 0.83",40920364,40920364,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,,multiple,,,pediatric (unspecified),"Explaining what radiomics is and its potential clinical applications, for a pediatric clinician audience",other,Educational overview of radiomics (quantitative feature extraction from medical images) written for pediatric clinicians; abstract text not available.,unclear,,,Archives of disease in childhood. Education and practice edition,2026,1,1.0,,,,10.1136/archdischild-2024-328347,https://doi.org/10.1136/archdischild-2024-328347,What is radiomics?,Mulvany T,educational review (Archives of Disease in Childhood Education and Practice edition),,not stated,none / not stated,,40930590,40930590,pubmed,False,low,,claude-code sonnet (worklist),1,2026-09-10
SurfGNN (Surface Graph Neural Network),graph neural network,MRI,brain (cortical surface),481 subjects (503 scans) from a harmonized neonatal MRI dataset,neonate,predicting neonatal (postmenstrual) brain age from cortical surface MRI features,measurement / quantification,"SurfGNN models the cortical surface mesh as a sparse graph, using topology-sampling and region-specific learning modules to handle cortical morphometric features at multiple scales, with a score-weighted fusion of nodal representations to predict neonatal brain age and generate interpretable feature-level activation maps.",open-source,The codes will be available at https://github.com/ZhuoshL/SurfGNN,https://github.com/ZhuoshL/SurfGNN,Medical image analysis,2026,2,2.0,,,,10.1016/j.media.2025.103793,https://doi.org/10.1016/j.media.2025.103793,SurfGNN: A robust surface-based prediction model with interpretability for coactivation maps of spatial and cortical features.,Li Z,technical development,"481 subjects, 503 scans",multi center,internal only,"MAE 0.827±0.056 postmenstrual weeks, ≥9.0% improvement over prior state-of-the-art",40934807,40934807,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,deep learning-based AI model,ultrasound,cervix,"4,224 pregnancies (7,862 cervical ultrasound images) from women who underwent cervical ultrasound during antenatal care in Denmark, 2008-2018",fetal,"predicting spontaneous preterm birth from cervical ultrasound, compared to cervical length measurement",outcome prediction,"A deep learning model is trained directly on cervical ultrasound images to predict spontaneous preterm birth, compared against the standard cervical-length measurement; saliency heat maps identify that the model attends to the inner lining of the lower uterine segment.",unclear,,,American journal of obstetrics and gynecology,2026,2,2.0,,,,10.1016/j.ajog.2025.09.012,https://doi.org/10.1016/j.ajog.2025.09.012,The combined use of cervical ultrasound and deep learning improves the detection of patients at risk for spontaneous preterm delivery.,Sejer EPF,retrospective multicenter model development and validation,"4,224 pregnancies, 7,862 cervical ultrasound images, 19 hospital sites",multi center,external / multi-center,AI AUC 0.75 vs cervical length AUC 0.67 (sensitivity 0.51 vs 0.41 at fixed specificity 0.85),40945809,40945809,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,nnU-Net,MRI,fetal brain (ventricles),222 singleton pregnancies with fetal brain MRI; 64 fetuses with ventriculomegaly (14 requiring postnatal intervention),fetal,differentiating fetal ventriculomegaly from hydrocephalus and predicting need for postnatal CSF intervention,segmentation; measurement / quantification; outcome prediction,"An nnU-Net segments the fetal ventricles on brain MRI to compute ventricular and subarachnoid volumes, which are compared to a normative reference range to classify ventriculomegaly and predict need for postnatal CSF intervention.",unclear,,,AJNR. American journal of neuroradiology,2026,0,0.0,,,,10.3174/ajnr.A9000,https://doi.org/10.3174/ajnr.A9000,Prediction of CSF Intervention in Fetal Ventriculomegaly via Artificial Intelligence-Powered Normative Modeling.,Zhou M,retrospective single-center model development and validation,222 patients (20 institutional + 80 public segmentations for training; 138 normal + 64 ventriculomegaly for testing),single center,internal only,AUC 0.97 for ventriculomegaly and for postnatal intervention prediction; Dice 0.96 for segmentation,40957691,40957691,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,logistic regression with radiomics / random forest / LASSO feature selection,MRI,"brain (white matter, periventricular)",217 infants (2015-2022) with suspected motor abnormalities,infant; neonate,Early prediction of periventricular leukomalacia (white matter brain injury) in high-risk infants using clinical and MRI data,outcome prediction,"Inputs are clinical variables, conventional MRI features, and radiomic features extracted from white matter regions on axial MRI sequences; output is a multivariate logistic regression risk score for periventricular leukomalacia.",unclear,,,European radiology,2026,1,1.0,,,,10.1007/s00330-025-11981-8,https://doi.org/10.1007/s00330-025-11981-8,Early prediction of periventricular leukomalacia from MRI changes: a machine learning approach for risk stratification.,Lin J,retrospective model development with external validation,"217 infants (training n=124, internal validation n=31, external validation n=62)",multi center,external / multi-center,AUC 0.96 (95% CI 0.90-1.00) in external validation cohort for combined clinical+MRI+radiomics model,40986046,40986046,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,AI model (architecture not stated),x-ray / radiography,"lower limb (femur, tibia)",Shadow trial: 84 children (168 femoral/tibial lengths); clinical trial: 114 children (228 femoral/tibial lengths),child,"Measuring limb-length discrepancy in children from EOS scanogram radiographs, and prospectively validating clinical deployment of the AI measurement tool.",measurement / quantification,"An AI model, deployed via a Docker container on a clinical computational platform, takes EOS scanogram radiographs as input and outputs automated bilateral femoral and tibial length measurements to assess limb-length discrepancy; results were compared against radiologist-reported measurements in a hidden shadow trial and a visible clinical trial.",open-source,deployed using an open-source platform (per title: 'using an open-source platform'),,European radiology,2026,0,0.0,,,,10.1007/s00330-025-12022-0,https://doi.org/10.1007/s00330-025-12022-0,Clinical deployment and prospective validation of an AI model for limb-length discrepancy measurements using an open-source platform.,Tsai A,prospective clinical deployment and validation study (shadow trial then clinical trial),Shadow trial: 84 children/168 measurements; clinical trial: 114 children/228 measurements,single center,prospective,Median absolute difference of 0.2-0.3 cm (IQR 0.3-0.4 cm) between AI-measured and radiologist-reported femoral/tibial lengths in both trials,40990984,40990984,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
